Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,D
19,0.23888814,0.13346659,0.42769623,-0.06136286,0.5847728,0.028629707,0.3778547,-0.022882087,0.21638003,-0.30987546,0.10380394,-0.051388994,0.20900369,-0.2984872,0.035250448,-0.3788652,-0.4517889,-161.4879
20,0.23890951,0.14037569,0.44671205,-0.07167471,0.59005344,0.02798951,0.39380768,-0.037495088,0.21374087,-0.29782018,0.10065072,-0.04844641,0.19618785,-0.30338925,0.041107118,-0.373118,-0.4473066,-136.9066
21,0.24822713,0.16776468,0.38421905,-0.04930209,0.58641464,0.065326,0.34142238,0.0034157597,0.23663604,-0.4065162,0.13260484,-0.0060956436,0.23805282,-0.21811338,0.031148244,-0.3697353,-0.46834913,-193.2975
22,0.25556454,0.15834412,0.43539813,-0.08356832,0.5958482,0.021763576,0.41751838,-0.006644978,0.22399281,-0.3068299,0.08985799,-0.04874663,0.19376221,-0.307652,0.054342955,-0.37527394,-0.45442483,-141.2354
23,0.25840992,0.15533902,0.41791674,-0.08022905,0.59629923,0.04385534,0.40762487,-0.029603913,0.24296519,-0.3535188,0.111458205,-0.04828506,0.19999433,-0.28525543,0.023400964,-0.38240412,-0.46414456,-166.272
24,0.26044345,0.15587974,0.42745712,-0.075083405,0.6012166,0.04508763,0.40512502,-0.027860334,0.2390939,-0.35318965,0.11196005,-0.045548033,0.19986156,-0.28640273,0.028102065,-0.38164693,-0.466411,-179.48
25,0.252332,0.15524298,0.42910156,-0.072254784,0.5920707,0.039586846,0.39580125,-0.024500925,0.2286442,-0.33537778,0.10755041,-0.040863633,0.20070909,-0.28477514,0.036378656,-0.3760989,-0.4565604,-155.5061
26,0.25152656,0.17832038,0.35259914,-0.02129516,0.6077887,0.09098233,0.26772735,0.05794624,0.23400426,-0.48081747,0.16999461,0.03625559,0.28479898,-0.13999394,0.04040074,-0.3470239,-0.489815,-130.8297
27,0.26389343,0.15941182,0.40445933,-0.07082728,0.59985507,0.05866847,0.38900322,-0.020284811,0.2506449,-0.3859305,0.1260235,-0.042582285,0.20984654,-0.26158667,0.014549912,-0.38273793,-0.47108972,-133.102
28,0.26215824,0.19885285,0.33583724,0.009846462,0.6284361,0.12399412,0.19564292,0.11178696,0.2311733,-0.54888123,0.20674211,0.08119157,0.32765225,-0.058784958,0.056335405,-0.32379535,-0.50675917,-144.2821
29,0.26420364,0.16391706,0.40539518,-0.06645138,0.60197586,0.061383888,0.37683475,-0.008313775,0.24626653,-0.38762623,0.12883122,-0.033695716,0.21545719,-0.24971364,0.023012765,-0.3764469,-0.4700494,-148.2771
30,1,1,-1,-1,1,-1,1,1,1,-1,1,1,-1,1,-1,1,-0.6,
